Jon Fitch,Jake Shields,Decision,Unanimous,Todd Anderson,5,5:00,/fighter/Jon-Fitch-4865,/fighter/Jake-Shields-502,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Marlon Moraes,Josenaldo Silva,TKO,Knee Injury,Dan Miragliotta,1,2:30,/fighter/Marlon-Moraes-30936,/fighter/Josenaldo-Silva-31109,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Caio Alencar,Jared Rosholt,KO,Punches,Keith Peterson,1,1:17,/fighter/Caio-Alencar-86518,/fighter/Jared-Rosholt-76763,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
David Branch,Louis Taylor,Submission,Rear-Naked Choke,Todd Anderson,5,2:00,/fighter/David-Branch-32431,/fighter/Louis-Taylor-25948,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Smealinho Rama,Jake Heun,TKO,Punches,Dan Miragliotta,2,3:30,/fighter/Smealinho-Rama-93351,/fighter/Jake-Heun-66992,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Shane Kruchten,Jeremy Mahon,Decision,Unanimous,Keith Peterson,3,5:00,/fighter/Shane-Kruchten-22808,/fighter/Jeremy-Mahon-26265,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Bruno Santos,Vagab Vagabov,Decision,Split,Todd Anderson,3,5:00,/fighter/Bruno-Santos-48052,/fighter/Vagab-Vagabov-78863,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Andre Harrison,Bruce Boyington,Submission,Rear-Naked Choke,Keith Peterson,1,1:54,/fighter/Andre-Harrison-87106,/fighter/Bruce-Boyington-58745,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Tom Marcellino,Matt Denning,Submission,Guillotine Choke,Todd Anderson,1,3:30,/fighter/Tom-Marcellino-28782,/fighter/Matt-Denning-131243,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
Amanda Nunes,Ronda Rousey,TKO,Punches,Herb Dean,1,0:48,/fighter/Amanda-Nunes-31496,/fighter/Ronda-Rousey-73073,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
