http://www.sherdog.com/fighter/Jared-Rosholt-76763,Jared Rosholt,1986-08-04T00:00:00.000-04:00,74,240,Team Takedown Velociti Fitness,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/David-Branch-32431,David Branch,1981-09-26T00:00:00.000-04:00,73,185,Renzo Gracie Jiu-Jitsu,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Louis-Taylor-25948,Louis Taylor,1979-05-12T00:00:00.000-04:00,71,185,Chicago Fight Team,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Smealinho-Rama-93351,Smealinho Rama,1992-04-30T00:00:00.000-04:00,72,227,Goldenstars Boxing Goncalves BJJ Team,Greece,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Jake-Heun-66992,Jake Heun,1987-08-24T00:00:00.000-04:00,74,205,American Top Team,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Shane-Kruchten-22808,Shane Kruchten,1984-06-07T00:00:00.000-04:00,73,145,10th Planet Jiu Jitsu,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Jeremy-Mahon-26265,Jeremy Mahon,1979-09-28T00:00:00.000-04:00,70,145,4oz. Fight Club,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Bruno-Santos-48052,Bruno Santos,1987-07-17T00:00:00.000-04:00,68,185,MMA Masters,Brazil,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Vagab-Vagabov-78863,Vagab Vagabov,1986-02-11T00:00:00.000-05:00,75,185,Dagfighter,Russia,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Andre-Harrison-87106,Andre Harrison,,68,145,Bellmore Kickboxing,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Bruce-Boyington-58745,Bruce Boyington,1979-05-05T00:00:00.000-04:00,69,155,Young's MMA Boyington's Taekwondo Academy,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Tom-Marcellino-28782,Tom Marcellino,1984-02-20T00:00:00.000-05:00,68,155,Renzo Gracie Academy Latham,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Matt-Denning-131243,Matt Denning,,68,145,Central Maine BJJ,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Amanda-Nunes-31496,Amanda Nunes,1988-05-30T00:00:00.000-04:00,65,136,American Top Team,Brazil,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Ronda-Rousey-73073,Ronda Rousey,1987-02-01T00:00:00.000-05:00,66,135,Team Hayastan Glendale Fighting Club,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Cody-Garbrandt-50381,Cody Garbrandt,1991-07-07T00:00:00.000-04:00,67,135,Strong Style Fight Team,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Dominick-Cruz-12107,Dominick Cruz,1985-09-03T00:00:00.000-04:00,68,134,Alliance MMA,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/TJ-Dillashaw-62507,T.J. Dillashaw,1986-02-07T00:00:00.000-05:00,66,135,Elevation Fight Team,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/John-Lineker-41906,John Lineker,1990-06-12T00:00:00.000-04:00,62,126,OCS Jiu-Jitsu American Top Team,Brazil,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Dong-Hyun-Kim-16374,Dong Hyun Kim,1981-11-17T00:00:00.000-05:00,73,170,Busan Team M.A.D.,South Korea,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Tarec-Saffiedine-21912,Tarec Saffiedine,1986-09-06T00:00:00.000-04:00,69,169,Tristar Gym,Belgium,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Ray-Borg-84752,Ray Borg,1993-08-04T00:00:00.000-04:00,64,125,Fit NHB,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Louis-Smolka-64792,Louis Smolka,1991-07-16T00:00:00.000-04:00,69,125,Hawaii Elite MMA,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Neil-Magny-69166,Neil Magny,1987-08-03T00:00:00.000-04:00,75,170,Elevation Fight Team,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Johny-Hendricks-24539,Johny Hendricks,1983-09-12T00:00:00.000-04:00,69,170,Team Takedown,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Antonio-Carlos-Jr-143157,Antonio Carlos Jr.,1990-03-16T00:00:00.000-05:00,74,185,American Top Team,Brazil,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Marvin-Vettori-80421,Marvin Vettori,1993-09-20T00:00:00.000-04:00,72,185,Stabile Fight Team,Italy,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Alex-Garcia-54124,Alex Garcia,1987-07-14T00:00:00.000-04:00,69,171,Tristar Gym,Canada,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Mike-Pyle-4577,Mike Pyle,1975-09-18T00:00:00.000-04:00,73,170,Syndicate MMA,United States,2017-01-04T20:21:21.176-05:00
http://www.sherdog.com/fighter/Niko-Price-96921,Niko Price,1989-09-29T00:00:00.000-04:00,72,170,American Top Team Cape Coral,United States,2017-01-04T20:21:21.176-05:00
